USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool
722405,LAFAYETTE REGIONAL AP,LA,30.2,-91.983,-6,12,II,12
722406,HOUMA-TERREBONNE,LA,29.567,-90.667,-6,3,II,12
722410,PORT ARTHUR JEFFERSON COUNTY,TX,29.95,-94.017,-6,5,I,24
722420,GALVESTON/SCHOLES,TX,29.3,-94.8,-6,16,II,12
722429,HOUSTON/D.W. HOOKS,TX,30.067,-95.55,-6,46,II,12
722430,HOUSTON BUSH INTERCONTINENTAL,TX,30,-95.367,-6,29,I,24
722435,HOUSTON WILLIAM P HOBBY AP,TX,29.65,-95.283,-6,13,II,12
722436,HOUSTON ELLINGTON AFB [CLEAR LAKE - UT],TX,29.57,-95.09,-6,6,II,12
722445,COLLEGE STATION EASTERWOOD FL,TX,30.583,-96.367,-6,96,II,12
722446,LUFKIN ANGELINA CO,TX,31.233,-94.75,-6,86,I,24
722448,TYLER/POUNDS FLD,TX,32.35,-95.4,-6,166,II,12
722470,LONGVIEW GREGG COUNTY AP [OVERTON - UT],TX,32.29,-94.98,-6,146,II,12
722480,SHREVEPORT REGIONAL ARPT,LA,32.45,-93.817,-6,77,I,24
722484,SHREVEPORT DOWNTOWN,LA,32.533,-93.75,-6,55,III,10
722485,BARKSDALE AFB,LA,32.5,-93.667,-6,54,II,12
722486,MONROE REGIONAL AP,LA,32.517,-92.033,-6,40,II,12
722487,ALEXANDRIA ESLER REGIONAL AP,LA,31.4,-92.3,-6,34,II,12
722499,NACOGDOCHES (AWOS),TX,31.583,-94.717,-6,108,III,12
722500,BROWNSVILLE S PADRE ISL INTL,TX,25.9,-97.433,-6,6,I,24
722505,HARLINGEN RIO GRANDE VALLEY I,TX,26.233,-97.65,-6,10,II,12
722506,MCALLEN MILLER INTL AP [EDINBURG - UT],TX,26.31,-98.17,-6,30,II,12
722510,CORPUS CHRISTI INTL ARPT [UT],TX,27.88,-97.63,-6,6,I,24
722515,CORPUS CHRISTI NAS,TX,27.683,-97.283,-6,6,II,12
722516,KINGSVILLE,TX,27.5,-97.817,-6,17,II,12
722517,ALICE INTL AP,TX,27.733,-98.033,-6,53,II,12
722520,LAREDO INTL AP [UT],TX,27.57,-99.49,-6,142,II,12
722523,SAN ANTONIO/STINSON,TX,29.333,-98.467,-6,176,III,10
722524,ROCKPORT/ARANSAS CO,TX,28.083,-97.05,-6,8,II,12
722526,COTULLA FAA AP,TX,28.45,-99.217,-6,141,II,12
722530,SAN ANTONIO INTL AP,TX,29.533,-98.467,-6,247,I,24
722533,HONDO MUNICIPAL AP,TX,29.367,-99.167,-6,280,III,10
722535,SAN ANTONIO KELLY FIELD AFB,TX,29.383,-98.583,-6,208,II,12
722536,RANDOLPH AFB,TX,29.533,-98.283,-6,232,II,12
722540,AUSTIN MUELLER MUNICIPAL AP [UT],TX,30.29,-97.74,-6,213,I,12
722544,CAMP MABRY,TX,30.317,-97.767,-6,198,III,16
722547,GEORGETOWN (AWOS),TX,30.683,-97.683,-6,240,III,12
722550,VICTORIA REGIONAL AP,TX,28.867,-96.933,-6,35,I,24
722555,PALACIOS MUNICIPAL AP,TX,28.717,-96.25,-6,5,II,12
722560,WACO REGIONAL AP,TX,31.617,-97.233,-6,152,I,24
722563,MC GREGOR (AWOS),TX,31.483,-97.317,-6,180,III,12
722570,FORT HOOD,TX,31.133,-97.717,-6,280,II,12
722575,KILLEEN MUNI (AWOS),TX,31.083,-97.683,-6,258,II,12
722576,ROBERT GRAY AAF,TX,31.067,-97.833,-6,312,II,12
722577,DRAUGHON MILLER CEN,TX,31.15,-97.4,-6,213,II,12
722583,DALLAS LOVE FIELD,TX,32.85,-96.85,-6,134,II,12
722587,COX FLD,TX,33.633,-95.45,-6,171,III,12
722588,GREENVILLE/MAJORS,TX,33.067,-96.067,-6,163,II,12
722590,DALLAS-FORT WORTH INTL AP,TX,32.9,-97.017,-6,171,I,24
722594,FORT WORTH ALLIANCE,TX,32.983,-97.317,-6,226,II,12
722595,FORT WORTH NAS,TX,32.767,-97.45,-6,185,II,12
722596,FORT WORTH MEACHAM,TX,32.817,-97.367,-6,209,II,12
722597,MINERAL WELLS MUNICIPAL AP,TX,32.783,-98.067,-6,284,II,12
722598,DALLAS/ADDISON ARPT,TX,32.967,-96.833,-6,196,II,12
722599,DALLAS/REDBIRD ARPT,TX,32.683,-96.867,-6,201,II,12
722610,DEL RIO [UT],TX,29.38,-100.91,-6,308,II,12
722615,DEL RIO LAUGHLIN AFB,TX,29.367,-100.783,-6,327,II,12
722630,SAN ANGELO MATHIS FIELD,TX,31.35,-100.5,-6,584,I,24
722636,DALHART MUNICIPAL AP,TX,36.017,-102.55,-6,1216,II,12
722640,MARFA AP,TX,30.367,-104.017,-6,1473,III,10
722650,MIDLAND INTERNATIONAL AP,TX,31.95,-102.183,-6,872,I,24
722656,WINK WINKLER COUNTY AP,TX,31.783,-103.2,-6,856,II,12
722660,ABILENE REGIONAL AP [UT],TX,32.47,-99.71,-6,530,I,24
722670,LUBBOCK INTERNATIONAL AP,TX,33.667,-101.817,-6,992,I,24
722680,ROSWELL INDUSTRIAL AIR PARK,NM,33.3,-104.533,-7,1112,I,12
722683,SIERRA BLANCA RGNL,NM,33.467,-105.533,-7,2078,III,10
722686,CLOVIS CANNON AFB,NM,34.383,-103.317,-7,1309,II,12
722687,CARLSBAD CAVERN CITY AIR TERM,NM,32.333,-104.267,-7,985,II,12
722689,CLOVIS MUNI  (AWOS),NM,34.433,-103.083,-7,1284,III,12
722695,LAS CRUCES INTL,NM,32.283,-106.917,-7,1393,II,12
722700,EL PASO INTERNATIONAL AP [UT],TX,31.77,-106.5,-7,1186,I,24
722710,TRUTH OR CONSEQUENCES MUNI AP,NM,33.233,-107.267,-7,1478,II,12
722725,DEMING MUNI,NM,32.25,-107.717,-7,1348,II,12
722735,DOUGLAS BISBEE-DOUGLAS INTL A,AZ,31.467,-109.6,-7,1249,II,12
722740,TUCSON INTERNATIONAL AP,AZ,32.133,-110.95,-7,777,I,24
722745,DAVIS MONTHAN AFB,AZ,32.167,-110.883,-7,809,II,12
722747,SAFFORD (AMOS),AZ,32.817,-109.683,-7,950,III,10
722748,CASA GRANDA (AWOS),AZ,32.95,-111.767,-7,446,III,12
722780,PHOENIX SKY HARBOR INTL AP,AZ,33.45,-111.983,-7,337,I,24
722784,DEER VALLEY/PHOENIX,AZ,33.683,-112.083,-7,450,II,12
722785,LUKE AFB,AZ,33.55,-112.367,-7,331,II,12
722789,SCOTTSDALE MUNI,AZ,33.617,-111.917,-7,460,II,12
722800,YUMA INTL ARPT,AZ,32.667,-114.6,-7,63,II,12
722860,MARCH AFB,CA,33.9,-117.25,-8,462,II,12
722868,PALM SPRINGS INTL,CA,33.833,-116.5,-8,145,II,12
722869,RIVERSIDE MUNI,CA,33.95,-117.45,-8,256,II,12
722880,BURBANK-GLENDALE-PASSADENA AP,CA,34.2,-118.35,-8,226,II,12
722885,SANTA MONICA MUNI,CA,34.017,-118.45,-8,53,II,12
722886,VAN NUYS AIRPORT,CA,34.217,-118.483,-8,235,II,12
722895,LOMPOC (AWOS),CA,34.667,-120.467,-8,27,III,12
722897,SAN LUIS CO RGNL,CA,35.233,-120.633,-8,66,II,12
722899,CHINO AIRPORT,CA,33.967,-117.633,-8,198,III,11
722900,SAN DIEGO LINDBERGH FIELD,CA,32.733,-117.167,-8,4,I,24
722903,SAN DIEGO/MONTGOMER,CA,32.817,-117.133,-8,129,II,12
722904,CHULA VISTA BROWN FIELD NAAS,CA,32.583,-116.983,-8,159,II,12
722906,SAN DIEGO NORTH ISLAND NAS,CA,32.7,-117.2,-8,15,II,12
722926,CAMP PENDLETON MCAS,CA,33.3,-117.35,-8,23,II,12
722927,CARLSBAD/PALOMAR,CA,33.133,-117.283,-8,100,II,12
722930,SAN DIEGO MIRAMAR NAS,CA,32.867,-117.133,-8,140,II,12
722950,LOS ANGELES INTL ARPT,CA,33.933,-118.4,-8,30,I,24
722956,JACK NORTHROP FLD H,CA,33.917,-118.333,-8,21,II,12
722970,LONG BEACH DAUGHERTY FLD,CA,33.833,-118.167,-8,8,I,24
722976,FULLERTON MUNICIPAL,CA,33.867,-117.983,-8,29,II,12
722977,SANTA ANA JOHN WAYNE AP,CA,33.683,-117.867,-8,16,II,12
723013,WILMINGTON INTERNATIONAL ARPT,NC,34.267,-77.9,-5,9,I,24
723030,FAYETTEVILLE POPE AFB,NC,35.167,-79.017,-5,66,II,12
723035,FAYETTEVILLE RGNL G,NC,34.983,-78.883,-5,59,II,12
723040,CAPE HATTERAS NWS BLDG,NC,35.267,-75.55,-5,3,I,24
723046,DARE CO RGNL,NC,35.917,-75.7,-5,4,II,12
723060,RALEIGH DURHAM INTERNATIONAL,NC,35.867,-78.783,-5,127,I,24
723065,PITT GREENVILLE ARP,NC,35.633,-77.4,-5,8,III,11
723066,GOLDSBORO SEYMOUR JOHNSON AFB,NC,35.35,-77.967,-5,33,II,12
723067,KINSTON STALLINGS AFB,NC,35.317,-77.633,-5,29,II,12
723068,ROCKY MOUNT WILSON,NC,35.85,-77.9,-5,50,II,12
723069,JACKSONVILLE (AWOS),NC,34.833,-77.617,-5,29,II,12
723075,OCEANA NAS,VA,36.817,-76.033,-5,8,II,12
723080,NORFOLK INTERNATIONAL AP,VA,36.9,-76.2,-5,7,I,24
723083,FRANKLIN NAAS,VA,36.7,-76.9,-5,12,III,11
723085,NORFOLK NAS,VA,36.95,-76.283,-5,10,II,12
723086,NEWPORT NEWS,VA,37.133,-76.5,-5,13,II,12
723090,CHERRY POINT MCAS,NC,34.9,-76.883,-5,11,II,12
723095,NEW BERN CRAVEN CO REGL AP,NC,35.067,-77.05,-5,5,II,12
723096,NEW RIVER MCAF,NC,34.7,-77.383,-5,5,II,12
723100,COLUMBIA METRO ARPT,SC,33.95,-81.117,-5,65,I,24
723106,FLORENCE REGIONAL AP,SC,34.183,-79.733,-5,44,II,12
723110,ATHENS BEN EPPS AP,GA,33.95,-83.333,-5,244,I,24
723119,GREENVILLE DOWNTOWN AP,SC,34.85,-82.35,-5,319,II,12
723120,GREER GREENV'L-SPARTANBRG AP,SC,34.9,-82.217,-5,292,I,24
723125,ANDERSON COUNTY AP,SC,34.5,-82.717,-5,232,II,12
723140,CHARLOTTE DOUGLAS INTL ARPT,NC,35.217,-80.95,-5,222,I,24
723143,SOUTHERN PINES AWOS,NC,35.233,-79.4,-5,141,III,12
723145,HICKORY REGIONAL AP,NC,35.733,-81.383,-5,348,II,12
723150,ASHEVILLE REGIONAL ARPT,NC,35.433,-82.533,-5,652,I,24
723170,GREENSBORO PIEDMONT TRIAD INT,NC,36.1,-79.95,-5,273,I,24
723183,BRISTOL TRI CITY AIRPORT,TN,36.467,-82.4,-5,457,I,24
723193,WINSTON-SALEM REYNOLDS AP,NC,36.133,-80.217,-5,296,II,12
723200,ROME R B RUSSELL AP,GA,34.35,-85.167,-5,195,III,12
723230,HUNTSVILLE INTL/JONES FIELD,AL,34.65,-86.783,-6,190,I,24
723235,MUSCLE SHOALS REGIONAL AP,AL,34.75,-87.6,-6,165,II,12
723240,CHATTANOOGA LOVELL FIELD AP,TN,35.033,-85.2,-5,204,I,24
723260,KNOXVILLE MCGHEE TYSON AP,TN,35.817,-83.983,-5,293,I,24
723265,CROSSVILLE MEMORIAL AP,TN,35.95,-85.083,-6,569,II,12
723270,NASHVILLE INTERNATIONAL AP,TN,36.117,-86.683,-6,177,I,24
723300,POPLAR BLUFF(AMOS),MO,36.767,-90.467,-6,146,III,10
723306,COLUMBUS AFB,MS,33.65,-88.45,-6,68,II,12
723307,GOLDEN TRI(AWOS),MS,33.45,-88.583,-6,80,II,12
723320,TUPELO C D LEMONS ARPT,MS,34.267,-88.767,-6,110,II,12
723340,MEMPHIS INTERNATIONAL AP,TN,35.067,-89.983,-6,81,I,24
723346,JACKSON MCKELLAR-SIPES REGL A,TN,35.6,-88.917,-6,132,II,12
723347,DYERSBURG MUNICIPAL AP,TN,36.017,-89.4,-6,103,II,12
723403,LITTLE ROCK ADAMS FIELD,AR,34.75,-92.233,-6,78,I,24
723405,LITTLE ROCK AFB,AR,34.917,-92.15,-6,103,II,12
723406,WALNUT RIDGE (AWOS),AR,36.133,-90.917,-6,83,II,12
723407,JONESBORO MUNI,AR,35.833,-90.65,-6,82,II,12
723415,MEMORIAL FLD,AR,34.467,-93.1,-6,169,II,12
723416,STUTTGART (AWOS),AR,34.6,-91.567,-6,68,II,12
723417,PINE BLUFF FAA AP,AR,34.167,-91.933,-6,63,II,12
723418,TEXARKANA WEBB FIELD,AR,33.45,-94,-6,110,II,12
723419,EL DORADO GOODWIN FIELD,AR,33.217,-92.817,-6,77,II,12
723434,SPRINGDALE MUNI,AR,36.183,-94.117,-6,412,III,10
723440,FORT SMITH REGIONAL AP,AR,35.333,-94.367,-6,137,II,24
723443,SILOAM SPRING(AWOS),AR,36.183,-94.483,-6,364,III,12
723444,BENTONVILLE (AWOS),AR,36.35,-94.217,-6,395,III,12
723445,FAYETTEVILLE DRAKE FIELD,AR,36,-94.167,-6,381,II,12
723446,HARRISON FAA AP,AR,36.267,-93.15,-6,419,II,12
723447,FLIPPIN (AWOS),AR,36.3,-92.467,-6,350,III,12
723448,BATESVILLE (AWOS),AR,35.733,-91.65,-6,141,III,12
723449,ROGERS (AWOS),AR,36.367,-94.1,-6,415,III,12
723489,CAPE GIRARDEAU MUNICIPAL AP,MO,37.233,-89.567,-6,103,II,12
723495,JOPLIN MUNICIPAL AP,MO,37.15,-94.5,-6,297,II,12
723510,WICHITA FALLS MUNICIPAL ARPT,TX,33.983,-98.5,-6,314,II,24
723520,ALTUS AFB,OK,34.65,-99.267,-6,414,II,12
723525,HOBART MUNICIPAL AP,OK,35,-99.05,-6,478,II,12
723526,CLINTON-SHERMAN,OK,35.333,-99.2,-6,586,III,10
723527,GAGE AIRPORT,OK,36.3,-99.767,-6,668,II,12
723530,OKLAHOMA CITY WILL ROGERS WOR,OK,35.383,-97.6,-6,398,II,24
723535,VANCE AFB,OK,36.333,-97.917,-6,408,II,12
723540,OKLAHOMA CITY TINKER AFB,OK,35.417,-97.383,-6,384,II,12
723544,OKLAHOMA CITY/WILEY,OK,35.533,-97.65,-6,396,II,12
723545,STILLWATER RGNL,OK,36.15,-97.083,-6,308,II,12
723546,PONCA CITY MUNICIPAL AP [SGP - ARM],OK,36.61,-97.49,-6,318,II,12
723550,FORT SILL POST FIELD AF,OK,34.65,-98.4,-6,369,II,12
723560,TULSA INTERNATIONAL AIRPORT,OK,36.2,-95.883,-6,198,II,24
723565,BARTLESVILLE/PHILLI,OK,36.767,-96.017,-6,218,II,12
723566,MCALESTER MUNICIPAL AP,OK,34.9,-95.783,-6,232,II,12
723575,LAWTON MUNICIPAL,OK,34.567,-98.417,-6,338,II,12
723600,CLAYTON MUNICIPAL AIRPARK,NM,36.45,-103.15,-7,1512,II,12
723604,CHILDRESS MUNICIPAL AP,TX,34.433,-100.283,-6,595,II,12
723627,GALLUP SEN CLARKE FLD,NM,35.517,-108.783,-7,1971,I,12
723630,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,34.99,-101.9,-6,1068,II,24
723650,ALBUQUERQUE INTL ARPT [ISIS],NM,35.04,-106.62,-7,1619,I,24
